ID,NB_SPC,HYP_v0,LOP_v0,HOD_v0,AL_v0,OL_v0,SF_v0,OT_v0,CM_v0,OO_v0,ETH_v0,LOPT_v0,HYP_v1,AL_v1,AL2_v1,OL_v1,SF_v1,OT_v1,OO_v1,BU_v1
enabled_col,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,T
135364,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135365,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
135366,3,2.000,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,2.000,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135367,3,2.000,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,2.000,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135369,3,2.333,1.333,1.000,0.000,0.667,0.000,0.000,0.000,0.667,0.333,0.000,2.333,0.000,0.667,0.667,0.000,0.000,0.667,0.333
135372,3,2.333,1.333,1.000,0.000,0.667,0.000,0.000,0.000,0.667,0.333,0.000,2.333,0.000,0.667,0.667,0.000,0.000,0.667,0.333
135373,3,2.333,1.333,1.000,0.000,0.667,0.000,0.000,0.000,0.667,0.333,0.000,2.333,0.000,0.667,0.667,0.000,0.000,0.667,0.333
135374,4,2.000,1.500,1.000,0.250,0.750,0.000,0.000,0.000,0.500,0.250,0.000,2.000,0.250,0.750,0.500,0.000,0.000,0.500,0.250
135375,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135376,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135377,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135382,3,2.333,2.000,1.000,0.333,1.000,0.000,0.333,0.333,0.333,0.000,0.000,2.667,0.333,0.667,0.667,0.000,0.333,0.333,0.000
135383,3,3.000,2.000,1.000,0.000,1.000,0.000,0.333,0.333,0.667,0.000,0.000,3.000,0.000,0.667,1.000,0.000,0.333,0.667,0.000
135384,4,3.000,2.000,1.000,0.000,1.000,0.000,0.250,0.250,0.750,0.000,0.000,3.000,0.000,0.750,1.000,0.000,0.250,0.750,0.000
135385,4,3.000,2.000,1.000,0.000,1.000,0.000,0.250,0.250,0.750,0.000,0.000,3.000,0.000,0.750,1.000,0.000,0.250,0.750,0.000
135387,4,2.500,2.000,1.000,0.250,1.000,0.000,0.250,0.250,0.500,0.000,0.000,2.750,0.250,0.750,0.750,0.000,0.250,0.500,0.000
135388,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135389,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135390,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135391,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135392,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135393,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135394,6,2.667,2.000,1.000,0.167,1.000,0.000,0.167,0.167,0.667,0.000,0.000,2.833,0.167,0.833,0.833,0.000,0.167,0.667,0.000
135395,6,2.667,2.000,1.000,0.167,1.000,0.000,0.167,0.167,0.667,0.000,0.000,2.833,0.167,0.833,0.833,0.000,0.167,0.667,0.000
135396,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135397,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135398,4,3.000,2.000,1.000,0.000,1.000,0.000,0.250,0.250,0.750,0.000,0.000,3.000,0.000,0.750,1.000,0.000,0.250,0.750,0.000
135399,3,3.000,2.000,1.000,0.000,1.000,0.000,0.333,0.333,0.667,0.000,0.000,3.000,0.000,0.667,1.000,0.000,0.333,0.667,0.000
135400,4,3.000,2.000,1.000,0.000,1.000,0.000,0.250,0.250,0.750,0.000,0.000,3.000,0.000,0.750,1.000,0.000,0.250,0.750,0.000
135401,4,3.000,2.000,1.000,0.000,1.000,0.000,0.250,0.250,0.750,0.000,0.000,3.000,0.000,0.750,1.000,0.000,0.250,0.750,0.000
135402,4,3.000,2.000,1.000,0.000,1.000,0.000,0.250,0.250,0.750,0.000,0.000,3.000,0.000,0.750,1.000,0.000,0.250,0.750,0.000
135403,3,3.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,3.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000
135404,3,2.333,2.000,1.000,0.333,1.000,0.000,0.000,0.000,0.667,0.000,0.000,2.333,0.333,1.000,0.667,0.000,0.000,0.667,0.000
135406,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135407,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135408,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135409,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135410,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135412,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135413,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135414,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135415,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135416,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135417,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135418,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135419,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135420,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135421,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135422,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135423,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135424,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135425,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135426,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135427,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135428,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135429,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
135430,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
135431,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
135432,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
135433,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
135434,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
135435,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
135436,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
135437,5,1.400,1.600,1.000,0.600,0.800,0.200,0.000,0.000,0.000,0.200,0.000,1.600,0.600,0.600,0.200,0.200,0.000,0.000,0.200
135928,3,2.000,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,2.000,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135929,3,2.000,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,2.000,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135930,4,2.250,1.500,1.000,0.250,0.750,0.000,0.000,0.000,0.500,0.250,0.000,2.250,0.250,0.750,0.500,0.000,0.000,0.500,0.250
135931,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135932,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135933,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135934,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135935,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135936,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135937,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135938,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135939,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
135940,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
135941,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
135942,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135943,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135944,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135945,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
135946,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135947,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135948,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135949,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135950,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135951,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
135952,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
135953,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
135954,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
135955,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
135956,3,2.000,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,2.000,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135957,4,2.250,1.500,1.000,0.250,0.750,0.000,0.000,0.000,0.500,0.250,0.000,2.250,0.250,0.750,0.500,0.000,0.000,0.500,0.250
135958,5,2.400,1.600,1.000,0.200,0.800,0.000,0.000,0.000,0.600,0.200,0.000,2.400,0.200,0.800,0.600,0.000,0.000,0.600,0.200
135959,5,2.400,1.600,1.000,0.200,0.800,0.000,0.000,0.000,0.600,0.200,0.000,2.400,0.200,0.800,0.600,0.000,0.000,0.600,0.200
135960,4,2.500,1.500,1.000,0.000,0.750,0.000,0.000,0.000,0.750,0.250,0.000,2.500,0.000,0.750,0.750,0.000,0.000,0.750,0.250
135961,4,2.500,1.500,1.000,0.000,0.750,0.000,0.000,0.000,0.750,0.250,0.000,2.500,0.000,0.750,0.750,0.000,0.000,0.750,0.250
135962,4,2.500,1.500,1.000,0.000,0.750,0.000,0.000,0.000,0.750,0.250,0.000,2.500,0.000,0.750,0.750,0.000,0.000,0.750,0.250
135963,3,2.333,1.333,1.000,0.000,0.667,0.000,0.000,0.000,0.667,0.333,0.000,2.333,0.000,0.667,0.667,0.000,0.000,0.667,0.333
135967,3,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,1.667,0.333,0.667,0.333,0.000,0.000,0.333,0.333
135973,4,2.500,2.000,1.000,0.250,1.000,0.000,0.250,0.250,0.500,0.000,0.000,2.750,0.250,0.750,0.750,0.000,0.250,0.500,0.000
135974,3,3.000,2.000,1.000,0.000,1.000,0.000,0.333,0.333,0.667,0.000,0.000,3.000,0.000,0.667,1.000,0.000,0.333,0.667,0.000
135979,4,2.500,2.000,1.000,0.250,1.000,0.000,0.000,0.000,0.750,0.000,0.000,2.750,0.250,1.000,0.750,0.000,0.000,0.750,0.000
135980,4,2.500,2.000,1.000,0.250,1.000,0.000,0.000,0.000,0.750,0.000,0.000,2.750,0.250,1.000,0.750,0.000,0.000,0.750,0.000
135981,4,2.500,2.000,1.000,0.250,1.000,0.000,0.250,0.250,0.500,0.000,0.000,2.750,0.250,0.750,0.750,0.000,0.250,0.500,0.000
135982,4,2.500,2.000,1.000,0.250,1.000,0.000,0.250,0.250,0.500,0.000,0.000,2.750,0.250,0.750,0.750,0.000,0.250,0.500,0.000
135983,4,2.500,2.000,1.000,0.250,1.000,0.000,0.250,0.250,0.500,0.000,0.000,2.750,0.250,0.750,0.750,0.000,0.250,0.500,0.000
135984,4,2.500,2.000,1.000,0.250,1.000,0.000,0.250,0.250,0.500,0.000,0.000,2.750,0.250,0.750,0.750,0.000,0.250,0.500,0.000
135985,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135986,5,2.600,2.000,1.000,0.200,1.000,0.000,0.200,0.200,0.600,0.000,0.000,2.800,0.200,0.800,0.800,0.000,0.200,0.600,0.000
135987,6,2.667,2.000,1.000,0.167,1.000,0.000,0.167,0.167,0.667,0.000,0.000,2.833,0.167,0.833,0.833,0.000,0.167,0.667,0.000
135988,3,3.000,2.000,1.000,0.000,1.000,0.000,0.333,0.333,0.667,0.000,0.000,3.000,0.000,0.667,1.000,0.000,0.333,0.667,0.000
135992,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135993,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135994,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
135995,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135996,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135997,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135998,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
135999,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
136000,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
136001,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
136002,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
136003,4,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,1.750,0.500,0.750,0.250,0.000,0.000,0.250,0.250
136004,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136005,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136006,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136007,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136008,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136009,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136010,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136011,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136012,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136013,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136014,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136015,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136016,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136017,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136018,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136019,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136020,3,1.333,1.333,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.000,1.333,0.667,0.667,0.000,0.000,0.000,0.000,0.333
136021,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
136022,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
136023,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
136024,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
136025,5,1.600,1.600,1.000,0.600,0.800,0.000,0.000,0.000,0.200,0.200,0.000,1.800,0.600,0.800,0.200,0.000,0.000,0.200,0.200
136026,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
136027,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
136523,3,2.000,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,2.000,0.333,0.667,0.333,0.000,0.000,0.333,0.333
136524,3,2.000,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,2.000,0.333,0.667,0.333,0.000,0.000,0.333,0.333
136525,3,2.000,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,2.000,0.333,0.667,0.333,0.000,0.000,0.333,0.333
136526,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
136527,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
136528,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
136529,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
136530,5,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,2.000,0.400,0.800,0.400,0.000,0.000,0.400,0.200
136531,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
136532,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
136533,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
136534,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
136535,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
136536,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
136537,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
136538,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
136539,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
136540,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
136541,4,2.250,2.000,1.000,0.500,1.000,0.000,0.000,0.000,0.500,0.000,0.000,2.250,0.500,1.000,0.500,0.000,0.000,0.500,0.000
136542,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
136543,3,2.000,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
